SECTEUR;SOUS-SECTEUR;CIBLE;SOUS-CIBLE;Nom;Adresse;MAIL;Telephone;LIEN
ACCUEILS ALTERNATIFS;;Enfant;;CENTRE DEDUCATION SPECIALISE POUR DEFICIENTS AUDITIFS (CESDA 34);14 RUE SAINT-VINCENT-DE-PAUL 34090 MONTPELLIER;;04 67 02 99 00;
ACCUEILS ALTERNATIFS;;Enfant;;CENTRE DEDUCATION SPECIALISEE POUR DEFICIENTS AUDITIFS (CESDA 34);14, RUE SAINT VINCENT DE PAUL 34090 MONTPELLIER;;04 67 02 99 00;
ACCUEILS ALTERNATIFS;;Enfant;;ETABLISSEMENT POUR ENFANTS ET ADOLESCENTS POLYHANDICAPES (EEAP) COSTE ROUSSE;43, AVENUE DES BARONNES 34730 PRADES LE LEZ;;04 67 59 52 50;
ACCUEILS ALTERNATIFS;;Enfant;;INSTITUT DEDUCATION MOTRICE (IEM) ALEXANDRE JOLLIEN;8, PLACE GENERAL DE GAULLE 34240 LAMALOU LES BAINS;;04 67 95 75 30;
ACCUEILS ALTERNATIFS;;Enfant;;INSTITUT DEDUCATION MOTRICE (IEM) LA CARDABELLE;21, AVENUE DE CASTELNAU 34090 MONTPELLIER;;04 67 72 42 62;
ACCUEILS ALTERNATIFS;;Enfant;;LES ATELIERS DE BENTENAC;ROUTE DES CABANES 34130 MAUGUIO;;04 67 29 52 45;
ACCUEILS ALTERNATIFS;;Enfant;;SAFEP ET SAAAIS DE LA FEDERATION DES AVEUGLES ET AMBLYOPES DE FRANCE-LR (FAF-LR);420, ALLEE HENRI II DE MONTMORENCY 34000 MONTPELLIER;;04 67 50 50 60;
ACCUEILS ALTERNATIFS;;Enfant;;SAFEP ET SSEFIS DE LASSOCIATION REGIONALE POUR LINTEGRATION ET LEDUCATION DES DEFICIENTS AUDITIFS (ARIEDA);2446 AVENUE DU PERE SOULAS 34090 MONTPELLIER;;04 99 23 27 70;
ACCUEILS ALTERNATIFS;;Enfant;;SAFEP ET SSEFIS DU CENTRE DEDUCATION SPECIALISEE POUR DEFICIENTS AUDITIFS (CESDA 34);14, RUE SAINT VINCENT DE PAUL 34090 MONTPELLIER;;04 67 02 99 00;
ACCUEILS ALTERNATIFS;;Enfant;;SAFEP ET SSEFIS DU CENTRE DE REEDUCATION DE LOUIE ET DE LA PAROLE (CROP PAUL BOUVIER);"b""24, ROUTE DALES, BP7 30170 SAINT HIPPOLYTE DU FORT""";;04 66 77 22 06;
ULIS;;Enfant;;SESSAD BOREAL;CENTRE EDUCATIF ET MEDICAL , AVENUE MONSEIGNEUR COSTE 34500 BEZIERS;;04 67 31 73 30;
ULIS;;Enfant;;SESSAD DE LAGATHOIS;CHEMIN RAYMOND FAGES 34300 AGDE;;04 67 77 00 01;
ULIS;;Enfant;;SESSAD DE LA MAISON DE SOL-N;40, RUE DE LA MARGERIDE - BAT A 34760 BOUJAN SUR LIBRON;;04 67 90 63 81;
ULIS;;Enfant;;SESSAD DU CENTRE BOURNEVILLE;120, RUE DU MAS PRUNET 34070 MONTPELLIER;;04 67 42 43 66;
ULIS;;Enfant;;SESSAD EOLE;CENTRE EDUCATIF ET MEDICAL, AVENUE MONSEIGNEUR COSTE 34500 BEZIERS;;04 67 31 73 30;
ULIS;;Enfant;;SESSAD FONTCAUDE;70, RUE TIPASA 34080 MONTPELLIER;;04 67 10 23 00;
ULIS;;Enfant;;SESSAD INSTITUT CAMPESTRE;1120, ROUTE DE BEDARIEUX 34700 LODEVE;;04 67 44 23 44;
ULIS;;Enfant;;SESSAD LENSOLEILLADE;"b""4, QUAI HERCULE COT 34800 CLERMONT LHERAULT""";;04 67 88 90 85;
ULIS;;Enfant;;SESSAD LOMBRELLE;11, RUE DU ROMARIN 34990 JUVIGNAC;;04 67 52 31 29;
ULIS;;Enfant;;SESSAD LA CARDABELLE;21, AVENUE DE CASTELNAU 34090 MONTPELLIER;;04 67 54 04 38;
ULIS;;Enfant;;SESSAD LA CORNICHE;16 BIS, BOULEVARD JOLIOT CURIE 34200 SETE;;04 67 18 29 04;
ULIS;;Enfant;;SESSAD LA DOMITIENNE;1804, AVENUE DU PERE SOULAS 34090 MONTPELLIER;;04 67 54 43 54;
ULIS;;Enfant;;SESSAD LA PINEDE;AVENUE CYPRIEN OLIVIER 34830 JACOU;;04 67 59 11 78;
ULIS;;Enfant;;SESSAD LE LANGUEDOC;38, RUE DU MAZET - MAS PRUNET 34070 MONTPELLIER;;04 67 42 45 44;
ULIS;;Enfant;;SESSAD LES HIRONDELLES;RUE DES LIERLES - CS 97001 34115 FRONTIGNAN;;04 67 46 62 38;
ULIS;;Enfant;;SESSAD LES PESCALUNES;31, RUE DU 8 MAI 1945 34400 LUNEL;;04 67 07 86 01;
ULIS;;Enfant;;SESSAD MARCEL FOUCAULT;RESIDENCE LE DIAMANT - BATIMENT B, 419, RUE LEON BLUM 34000 MONTPELLIER;;04 67 54 25 35;
ULIS;;Enfant;;SESSAD NAZARETH;13, RUE DE NAZARETH 34093 MONTPELLIER CEDEX 5;;04 99 58 21 21;
ULIS;;Enfant;;SESSAD NOTRE DAME DE LA SALETTE;2, RUE PUECH DU FOUR BP 34 34600 BEDARIEUX;;04 67 95 10 59;
ULIS;;Enfant;;SESSAD PARENTS THESE;"b""ZAC CLEMENT DALGER, 20, RUE DES FRERES LUMIERE 34830 JACOU""";;04 67 45 63 02;
ULIS;;Enfant;;CLIS ECOLE H. DE BORNIER;75, RUE OBSERVANCE 34400 LUNEL;;04 67 87 83 89;
ULIS;;Enfant;;MATERNELLE DESBORDES VALMORE;460 RUE DES LAVANDINS 34070 MONTPELLIER;;04 67 42 63 15;
ULIS;;Enfant;;ULIS ECOLE  DE MONTARNAUD;AVENUE FONT MOSSON 34570 MONTARNAUD;;04 67 55 56 99;
ULIS;;Enfant;;ULIS ECOLE ALPHONSE DAUDET;"b""BOULEVARD GAMBETTA 34800 CLERMONT LHERAULT""";;04 67 96 02 69;
ULIS;;Enfant;;ULIS ECOLE ANATOLE FRANCE;AVENUE ANATOLE FRANCE 34110 FRONTIGNAN;;04 67 46 51 11;
ULIS;;Enfant;;ULIS ECOLE ANTOINE BALARD;123, RUE DE SALAMANQUE 34080 MONTPELLIER;;04 67 75 43 01;
ULIS;;Enfant;;ULIS ECOLE ANTOINE DE SAINT EXUPÉRY;16, RUE MICHELET 34370 CAZOULS LES BEZIERS;;04 67 93 60 63;
ULIS;;Enfant;;ULIS ECOLE ARAGO;21 RUE MONTMORENCY 34200 SETE;;04 67 74 35 24;
ULIS;;Enfant;;ULIS ECOLE ARC EN CIEL;260, ROUTE USCLAS 34230 PAULHAN;;04 67 25 05 00;
ULIS;;Enfant;;ULIS ECOLE CAPITAINE BONNET;2, AVENUE DE LA MAIRIE 34480 MAGALAS;;04 67 36 38 33;
ULIS;;Enfant;;ULIS ECOLE CESAR VINAS;RUE GEORGES FABRE 34700 LODEVE;;04 67 88 86 03;
ULIS;;Enfant;;ULIS ECOLE CHARLES BAUDELAIRE;311, AVENUE SAINT-CLEMENT 34070 MONTPELLIER;;04 67 63 08 53;
ULIS;;Enfant;;ULIS ECOLE CONDORCET;2, PLACE DES ECOLES 34830 JACOU;;04 67 59 10 67;
ULIS;;Enfant;;ULIS ECOLE EDOUARD HERRIOT;RUE FRANCOIS FEYNES 34500 BEZIERS;;04 67 62 47 47;
ULIS;;Enfant;;ULIS ECOLE FRANCOIS MITTERRAND;1330, RUE HENRI LAGATU 34080 MONTPELLIER;;04 99 74 72 80;
ULIS;;Enfant;;ULIS ECOLE FRANCOIS MITTERRAND;AVENUE DE NISSAN 34310 CAPESTANG;;04 67 93 32 79;
ULIS;;Enfant;;ULIS ECOLE FRESCATIS;34220 SAINT PONS DE THOMIERES;;04 67 97 05 67;
ULIS;;Enfant;;ULIS ECOLE GALILÉE;RUE JAUFFRE RUDEL 34080 MONTPELLIER;;04 67 75 34 59;
ULIS;;Enfant;;ULIS ECOLE GARIBALDI;2, PLACE DE FONTJUN 34070 MONTPELLIER;;04 67 42 77 13;
ULIS;;Enfant;;ULIS ECOLE GEORGES BASTIDE;2, RUE LEON BLUM 34660 COURNONTERRAL;;04 67 85 60 56;
ULIS;;Enfant;;ULIS ECOLE GEORGES CLEMENCEAU;RUE DES BORIES 34140 MEZE;;04 67 43 81 01;
ULIS;;Enfant;;ULIS ECOLE HAROUN TAZIEFF;3, RUE DES ECOLES 34770 GIGEAN;;04 67 46 64 61;
ULIS;;Enfant;;ULIS ECOLE HENRI DE BORNIER;75, RUE DE LOBSERVANCE 34400 LUNEL;;04 67 87 83 89;
ULIS;;Enfant;;ULIS ECOLE JACQUES BREL;5, IMPASSE DES MARMOUSETS 34000 MONTPELLIER;;04 67 64 08 74;
ULIS;;Enfant;;ULIS ECOLE JACQUES PREVERT;CHEMIN FAISSINE 34120 PEZENAS;;04 67 98 38 76;
ULIS;;Enfant;;ULIS ECOLE JEAN GUY;AVENUE PAUL VIDAL 34490 MURVIEL LES BEZIERS;;04 67 37 80 64;
ULIS;;Enfant;;ULIS ECOLE JEAN JAURES;RUE HORT DE MONSEIGNEUR 34500 BEZIERS;;04 67 30 10 68;
ULIS;;Enfant;;ULIS ECOLE JEAN MACE;"b""RUE DU 81EME REGIMENT DINFANTERIE 34200 SETE""";;04 67 51 10 50;
ULIS;;Enfant;;ULIS ECOLE JEAN MACE;289, RUE SAINT HILAIRE 34000 MONTPELLIER;;04 67 64 40 60;
ULIS;;Enfant;;ULIS ECOLE JEAN MERMOZ;196, RUE DE LA CROIX DU SUD 34000 MONTPELLIER;;04 67 65 04 66;
ULIS;;Enfant;;ULIS ECOLE JULES FERRY;184, AVENUE EDMOND ROSTAND 34590 MARSILLARGUES;;04 67 83 55 77;
ULIS;;Enfant;;ULIS ECOLE JULES FERRY;"b""PLACE DE LEUROPE 34820 TEYRAN""";;04 67 70 34 27;
ULIS;;Enfant;;ULIS ECOLE JULES FERRY;RUE EDOUARD HERRIOT 34290 SERVIAN;;04 67 39 11 42;
ULIS;;Enfant;;ULIS ECOLE JULES FERRY;15, RUE DE LA REPUBLIQUE 34300 AGDE;;04 67 94 23 18;
ULIS;;Enfant;;ULIS ECOLE JULES SIMON;45, RUE DE LA MEDITERRANEE 34000 MONTPELLIER;;04 67 65 60 54;
ULIS;;Enfant;;ULIS ECOLE KUROSAWA;400, RUE PIERRE CARDENAL 34080 MONTPELLIER;;04 67 75 28 34;
ULIS;;Enfant;;ULIS ECOLE LA CHEVALIERE;RUE FERREOL MAZAS 34500 BEZIERS;;04 67 76 27 74;
ULIS;;Enfant;;ULIS ECOLE LA MARIANNE;RUE DES ECOLES REPUBLICAINES 34190 GANGES;;04 67 73 80 44;
ULIS;;Enfant;;ULIS ECOLE LA RENAISSANCE;3, RUE DU 4 SEPTEMBRE 34200 SETE;;04 67 74 42 10;
ULIS;;Enfant;;ULIS ECOLE LANGEVIN-WALLON;RUE DU VIGNAL 34600 BEDARIEUX;;04 67 95 07 48;
ULIS;;Enfant;;ULIS ECOLE LE GRAND TAMARIS;AVENUE DE FREJORGUES 34970 LATTES;;04 67 65 21 61;
ULIS;;Enfant;;ULIS ECOLE LEO MALET;5, ALLEE PIERRE CARABASSE 34080 MONTPELLIER;;04 67 75 46 45;
ULIS;;Enfant;;ULIS ECOLE LEOPOLD SEDAR SENGHOR;26, AVENUE DE BOLOGNE 34080 MONTPELLIER;;04 67 75 34 79;
ULIS;;Enfant;;ULIS ECOLE LES AMANDIERS;BOULEVARD BIR HAKEIM 34500 BEZIERS;;04 67 62 48 72;
ULIS;;Enfant;;ULIS ECOLE LES ARBOUSIERS;1, AVENUE LES ARBOUSIERS 34500 BEZIERS;;04 67 76 22 18;
ULIS;;Enfant;;ULIS ECOLE LES LAVANDINS;AVENUE DU STADE 34110 FRONTIGNAN LA PEYRADE;;04 67 46 51 61;
ULIS;;Enfant;;ULIS ECOLE LES ROMARINS;RUE DE SETIF LA DEVEZE 34500 BEZIERS;;04 67 76 52 38;
ULIS;;Enfant;;ULIS ECOLE LOUIS MALBOSC;181, RUE MICHELE OSTERMEYER 34500 BEZIERS;;04 99 43 80 10;
ULIS;;Enfant;;ULIS ECOLE LOUISVILLE;431, AVENUE LOUISVILLE 34080 MONTPELLIER;;04 67 75 36 01;
ULIS;;Enfant;;ULIS ECOLE LUCIE AUBRAC;RUE DU PEYROU 34570 PIGNAN;;04 67 47 83 34;
ULIS;;Enfant;;ULIS ECOLE MARC BLOCH;135, ALLEE DES HAUTS DE MONTPELLIER 34080 MONTPELLIER;;04 67 75 13 87;
ULIS;;Enfant;;ULIS ECOLE MARIO ROUSTAN;RUE ARCHIMEDE 34130 MAUGUIO;;04 67 29 54 68;
ULIS;;Enfant;;ULIS ECOLE OLONZAC;AVENUE DE PEPIEUX 34210 OLONZAC;;04 68 91 32 42;
ULIS;;Enfant;;ULIS ECOLE PAUL BERT;2, RUE DE VILLEFRANCHE 34200 SETE;;04 67 46 09 87;
ULIS;;Enfant;;ULIS ECOLE PAUL BERT;11, RUE AUGUSTE COMTE 34110 SERIGNAN;;04 67 32 14 51;
ULIS;;Enfant;;ULIS ECOLE PAUL LANGEVIN;5, RUE DE CLEMENTVILLE 34000 MONTPELLIER;;04 67 92 85 70;
ULIS;;Enfant;;ULIS ECOLE PELLISSON;RUE PIERRE CURIE 34500 BEZIERS;;04 67 31 67 42;
ULIS;;Enfant;;ULIS ECOLE PINTAT-LES OISEAUX;RUE JULES DALOU 34500 BEZIERS;;04 67 31 25 17;
ULIS;;Enfant;;ULIS ECOLE SIGMUND FREUD;2, RUE DES TOURTERELLES 34090 MONTPELLIER;;04 67 72 42 53;
ULIS;;Enfant;;ULIS ECOLE TERRES BLANCHES;RUE JULES FERRY 34110 FRONTIGNAN;;04 67 18 50 94;
ULIS;;Enfant;;ULIS ECOLE VICTOR HUGO;RUE GENERAL RIU 34000 MONTPELLIER;;04 67 65 64 80;
ULIS;;Enfant;;ULIS ECOLE VICTOR HUGO;AVENUE DU 8 MAI 1945 34550 BESSAN;;04 67 77 42 56;
ULIS;;Enfant;;ULIS ECOLE VICTOR HUGO;RUE DU CALVAIRE 34830 CLAPIERS;;04 67 55 90 06;
ULIS;;Enfant;;ULIS ECOLE VICTOR HUGO;9, AVENUE VICTOR HUGO 34400 LUNEL;;04 67 87 83 82;
ULIS;;Enfant;;ULIS ECOLE VOLTAIRE;157, RUE HENRI SELLIER 34070 MONTPELLIER;;04 67 47 19 65;
ULIS;;Enfant;;ULIS ECOLE WINSTON CHURCHILL;424, RUE DU LAVANDIN 34070 MONTPELLIER;;04 67 42 54 64;
ULIS;;Enfant;;ULIS COLLEGE AMBRUSSUM;45, AVENUE LOUIS MEDARD 34400 LUNEL;;04 67 71 51 10;
ULIS;;Enfant;;ULIS COLLEGE ARTHUR RIMBAUD;2 RUE MARIUS PETIPA 34080 MONTPELLIER;;04 67 75 43 90;
ULIS;;Enfant;;ULIS COLLEGE CROIX DARGENT;"b""361, RUE DE LARNEL 34070 MONTPELLIER""";;04 67 42 94 15;
ULIS;;Enfant;;ULIS COLLEGE DE LA VOIE DOMITIENNE;BP 14 34920 LE CRES;;04 67 70 32 78;
ULIS;;Enfant;;ULIS COLLEGE DU JEU DE MAIL;5, AVENUE BERTIN SANS 34000 MONTPELLIER;;04 67 52 11 50;
ULIS;;Enfant;;ULIS COLLEGE DU SALAGOU;"b""7 AVENUE PAUL VALERY 34800 CLERMONT LHERAULT""";;04 67 96 04 31;
ULIS;;Enfant;;ULIS COLLEGE FERDINAND FABRE;CITE MIXTE FERDINAND FABRE, 2, RUE JEAN MOULIN 34600 BEDARIEUX;;04 67 23 30 60;
ULIS;;Enfant;;ULIS COLLEGE FRANCOIS MITTERRAND;380, AVENUE DE CASTELNAU 34830 CLAPIERS;;04 67 55 90 20;
ULIS;;Enfant;;ULIS COLLEGE FRANCOIS RABELAIS;200, RUE DE MALBOSC 34080 MONTPELLIER;;04 99 77 21 21;
ULIS;;Enfant;;ULIS COLLEGE FREDERIC BAZILLE;170, AVENUE DU 8 MAI 1945 34170 CASTELNAU LE LEZ;;04 67 79 74 10;
ULIS;;Enfant;;ULIS COLLEGE GEORGES BRASSENS;AVENUE DU MEJEAN 34970 LATTES;;04 67 22 08 94;
ULIS;;Enfant;;ULIS COLLEGE GERARD PHILIPE;686, AVENUE DU PONT TRINQUAT 34070 MONTPELLIER;;04 67 65 64 64;
ULIS;;Enfant;;ULIS COLLEGE JEAN BENE;1 AVENUE PAUL VIDAL DE LA BLACHE 34120 PEZENAS;;04 67 98 11 55;
ULIS;;Enfant;;ULIS COLLEGE JEAN JAURES;10 BIS, AVENUE DU GENERAL DE GAULLE 34140 MEZE;;04 67 43 81 00;
ULIS;;Enfant;;ULIS COLLEGE KATIA ET MAURICE KRAFFT;BOULEVARD YVES DE MANOIR 34513 BEZIERS CEDEX;;04 67 76 18 66;
ULIS;;Enfant;;ULIS COLLEGE LAS CAZES;420, RUE CROIX DE LAS CAZES 34080 MONTPELLIER;;04 67 04 39 39;
ULIS;;Enfant;;ULIS COLLEGE LE BERANGE;21, AVENUE CONTR\xc3\x94LE 34670 BAILLARGUES;;04 67 70 13 51;
ULIS;;Enfant;;ULIS COLLEGE LES ARBOURYS;RUE DE LA PROMENADE 34480 MAGALAS;;04 67 62 31 70;
ULIS;;Enfant;;ULIS COLLEGE LES DEUX PINS;6, RUE MAURICE CLAVEL 34113 FRONTIGNAN;;04 67 18 69 50;
ULIS;;Enfant;;ULIS COLLEGE LES ESCHOLIERS DE LA MOSSON;70, AVENUE DU BITERROIS 34184 MONTPELLIER;;04 67 10 47 30;
ULIS;;Enfant;;ULIS COLLEGE LOUISE MICHEL;PLACE JULES FERRY 34190 GANGES;;04 67 73 81 01;
ULIS;;Enfant;;ULIS COLLEGE LUCIE AUBRAC;4, RUE DE JUSSIEU 34500 BEZIERS;;04 99 43 20 50;
ULIS;;Enfant;;ULIS COLLEGE MARCEL PAGNOL;RUE EMILE TURCO 34410 SERIGNAN;;04 67 39 99 99;
ULIS;;Enfant;;ULIS COLLEGE MARIE CURIE;RUE DES CONDAMINES 34570 PIGNAN;;04 67 47 61 35;
ULIS;;Enfant;;ULIS COLLEGE PAUL BERT;20, AVENUE DE LA REPUBLIQUE 34310 CAPESTANG;;04 67 49 82 22;
ULIS;;Enfant;;ULIS COLLEGE PAUL RIQUET;PLACE GENERAL DE GAULLE 34500 BEZIERS;;04 99 43 26 30;
ULIS;;Enfant;;ULIS COLLEGE PIERRE DELEY;AVENUE DE FLORENSAC 34340 MARSEILLAN;;04 67 35 30 70;
ULIS;;Enfant;;ULIS COLLEGE RAY CHARLES;RUE DES COUSSES 34690 FABREGUES;;04 67 85 63 40;
ULIS;;Enfant;;ULIS COLLEGE RENE CASSIN;RUE BALTHAZAR FLORET 34300 AGDE;;04 67 01 08 10;
ULIS;;Enfant;;ULIS COLLEGE ROGER CONTREPAS;AVENUE EDMOND ROSTANG 34590 MARSILLARGUES;;04 67 83 42 80;
ULIS;;Enfant;;ULIS COLLEGE SIMONE DE BEAUVOIR;ZONE ARTISANALE DE LA PEYRADE 34110 FRONTIGNAN LA PEYRADE;;04 67 80 91 00;
ULIS;;Enfant;;ULIS COLLEGE VICTOR HUGO;AVENUE DE LA GARE 34550 BESSAN;;04 67 00 28 28;
ULIS;;Enfant;;ULIS COLLEGE VICTOR HUGO;QUAI FRANCOIS MAILLOL 34200 SETE;;04 67 74 76 20;
ULIS;;Enfant;;ULIS COLLEGE VINCENT BADIE;AVENUE GILBERT SENES 34570 MONTARNAUD;;04 99 62 31 70;
ULIS;;Enfant;;ULIS EREA-LEA JEAN JACQUES ROUSSEAU;AVENUE DE LA COLLINE 34075 MONTPELLIER;;04 67 10 41 41;
ULIS;;Enfant;;ULIS LYCEE JEAN MERMOZ;717, AVENUE JEAN MERMOZ 34000 MONTPELLIER;;04 67 20 60 00;
ULIS;;Enfant;;ULIS LYCEE PROFESSIONNEL CHARLES ALLIES;24, BOULEVARD JOLIOT CURIE 34120 PEZENAS;;04 67 90 44 20;
ULIS;;Enfant;;ULIS LYCEE PROFESSIONNEL CHARLES DE GAULLE;19, BOULEVARD JOLIOT CURIE, BP 167 34203 SETE;;04 67 18 66 66;
ULIS;;Enfant;;ULIS LYCEE PROFESSIONNEL GEORGES FRECHE;401, RUE TITIEN 34000 MONTPELLIER;;04 67 13 05 05;
ULIS;;Enfant;;ULIS LYCEE PROFESSIONNEL JEAN MOULIN;19, AVENUE MARTYRS DE LA RESISTANCE 34500 BEZIERS;;04 67 35 59 35;
ULIS;;Enfant;;ULIS LYCEE PROFESSIONNEL JULES FERRY;270, AVENUE DE LA COLLINE 34070 MONTPELLIER CEDEX 3;;04 67 10 74 01;
ULIS;;Enfant;;ULIS LYCEE PROFESSIONNEL MENDES FRANCE;380, RUE DU MAS DE BROUSSE, CS 26037 34060 MONTPELLIER;;04 67 13 35 00;
ULIS;;Enfant;;ULIS LYCEE VICTOR HUGO;527, ZAC LA PETITE CAMARGUE 34400 LUNEL;;04 99 13 70 30;
ÉTABLISSEMENTS;;Adult;;MAS ALEXANDRE JOLLIEN (ANCIENNEMENT LAMALOU LE HAUT);ROUTE DE SAINT GERVAIS COMBES 34240 LAMALOU LES BAINS;;04 67 95 75 30;
ÉTABLISSEMENTS;;Adult;;MAS APARD - CENTRE APIGHREM;4, RUE DES OURGOUILLOUS 34270 SAINT MATHIEU DE TREVIERS;;04 67 55 16 00;
ÉTABLISSEMENTS;;Adult;;MAS CAMILLE CLAUDEL;"b""RUE HECTOR BERLIOZ 34800 CLERMONT LHERAULT""";;04 67 88 42 45;
ÉTABLISSEMENTS;;Adult;;MAS CENTRE SAINT PIERRE;BP 15 34290 MONTBLANC;;04 67 98 50 07;
ÉTABLISSEMENTS;;Adult;;MAS DE MONTFLOURES;TRAVERSE DE COLOMBIERS 34500 BEZIERS;;04 67 49 89 62;
ÉTABLISSEMENTS;;Adult;;MAS DU CENTRE PAUL COSTE FLORET;BP 3 34240 LAMALOU LES BAINS;;04 67 23 55 00;
ÉTABLISSEMENTS;;Adult;;MAS FONTCOLOMBE;509, RUE DE CHATEAU BON 34080 MONTPELLIER;;04 67 13 41 20;
ÉTABLISSEMENTS;;Adult;;MAS LA PARAGE;15 RUE DES AIGUES VIVES - BP52 34725 SAINT ANDRE DE SANGONIS;;04 67 57 00 50;
ÉTABLISSEMENTS;;Adult;;MAS LES IV SEIGNEURS;1082, AVENUE DU PIC SAINT LOUP 34090 MONTPELLIER;;04 67 63 38 62;
ÉTABLISSEMENTS;;Adult;;MAS LES SOLEILS (ANCIENNEMENT PROPARA);263, RUE DU CADUCEE , PARC EUROMEDECINE 34090 MONTPELLIER;;04 67 04 67 04;
